Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,ElectricityBill
13,22.0,1.0,4.0,12.0,0,1,Karachi,K-Electric (KE),653,29206.2
7,21.0,0.0,3.0,1.0,0,12,Hyderabad,Hyderabad Electric Supply Company (HESCO),421,16851.44
10,19.0,0.0,3.0,1.0,0,6,Multan,Multan Electric Power Company (MEPCO),421,16851.44
15,22.0,2.0,16.0,1.0,0,4,Multan,Multan Electric Power Company (MEPCO),650,29033.36
18,22.0,2.0,15.0,1.0,0,6,Faisalabad,Faisalabad Electric Supply Company (FESCO),484,20038.34
22,23.0,2.0,21.0,1.0,0,6,Peshawar,Peshawar Electric Supply Company (PESCO),737,34278.25
18,22.0,2.0,10.0,1.0,0,2,Sialkot,Gujranwala Electric Power Company (GEPCO),405,16042.07
7,23.0,3.0,11.0,1.0,0,4,Hyderabad,Hyderabad Electric Supply Company (HESCO),458,18723.11
16,22.0,1.0,11.0,1.0,0,8,Sukkur,Sukkur Electric Power Company (SEPCO),466,19127.8
14,23.0,1.0,13.0,1.0,0,8,Hyderabad,Hyderabad Electric Supply Company (HESCO),456,18621.94
15,22.0,3.0,9.0,1.0,0,4,Sialkot,Gujranwala Electric Power Company (GEPCO),394,15501.48
8,22.0,1.0,5.0,1.0,0,10,Peshawar,Peshawar Electric Supply Company (PESCO),263,9435.33
10,18.0,2.0,9.0,1.0,0,7,Sialkot,Gujranwala Electric Power Company (GEPCO),490,20341.85
8,19.0,2.0,20.0,1.0,0,12,Abbottabad,Peshawar Electric Supply Company (PESCO),476,19633.65
19,22.0,1.0,3.0,1.0,0,5,Abbottabad,Peshawar Electric Supply Company (PESCO),577,24870.55
7,23.0,0.0,17.0,1.0,0,3,Sargodha,Faisalabad Electric Supply Company (FESCO),533,22571.79
16,23.0,1.0,16.0,1.0,0,7,Karachi,K-Electric (KE),495,20594.78
8,23.0,0.0,4.0,1.0,0,8,Abbottabad,Peshawar Electric Supply Company (PESCO),399,15741.2
12,22.0,0.0,14.0,12.0,0,10,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),604,26383.05
18,22.0,3.0,9.0,1.0,0,9,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),653,29206.2
19,23.0,2.0,14.0,1.0,0,11,Peshawar,Peshawar Electric Supply Company (PESCO),512,21474.65
7,22.0,2.0,11.0,7.0,0,8,Peshawar,Peshawar Electric Supply Company (PESCO),468,19228.97
19,22.0,3.0,11.0,1.0,0,4,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),563,24139.13
17,23.0,1.0,12.0,1.0,0,9,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),496,20645.37
20,23.0,0.0,15.0,1.0,0,10,Hyderabad,Hyderabad Electric Supply Company (HESCO),500,20847.71
21,22.0,1.0,8.0,1.0,0,12,Hyderabad,Hyderabad Electric Supply Company (HESCO),502,20952.2
9,23.0,3.0,14.0,1.0,0,6,Abbottabad,Peshawar Electric Supply Company (PESCO),616,27074.44
13,23.0,3.0,8.0,12.0,0,8,Rawalpindi,Islamabad Electric Supply Company (IESCO),589,25534.8
7,20.0,2.0,12.0,7.0,0,6,Hyderabad,Hyderabad Electric Supply Company (HESCO),595,25871.78
9,23.0,3.0,17.0,7.0,0,9,Faisalabad,Faisalabad Electric Supply Company (FESCO),487,20190.1
21,22.0,0.0,9.0,1.0,0,3,Gwadar,Quetta Electric Supply Company (QESCO),512,21474.65
22,22.0,3.0,9.0,1.0,0,2,Sialkot,Gujranwala Electric Power Company (GEPCO),405,16042.07
8,18.0,3.0,19.0,1.0,0,11,Hyderabad,Hyderabad Electric Supply Company (HESCO),388,15213.82
6,22.0,3.0,10.0,1.0,0,1,Sialkot,Gujranwala Electric Power Company (GEPCO),437,17660.81
20,23.0,3.0,5.0,1.0,0,3,Lahore,Lahore Electric Supply Company (LESCO),656,29379.05
7,21.0,0.0,4.0,1.0,0,12,Hyderabad,Hyderabad Electric Supply Company (HESCO),300,10994.82
6,18.0,2.0,7.0,7.0,0,9,Sukkur,Sukkur Electric Power Company (SEPCO),523,22049.34
14,23.0,2.0,4.0,1.0,0,7,Hyderabad,Hyderabad Electric Supply Company (HESCO),565,24243.62
17,22.0,1.0,6.0,1.0,0,6,Abbottabad,Peshawar Electric Supply Company (PESCO),561,24034.64
20,23.0,3.0,11.0,1.0,0,7,Sialkot,Gujranwala Electric Power Company (GEPCO),628,27765.82
11,23.0,3.0,8.0,1.0,0,11,Peshawar,Peshawar Electric Supply Company (PESCO),560,23982.39
13,22.0,0.0,7.0,1.0,0,8,Hyderabad,Hyderabad Electric Supply Company (HESCO),425,17053.78
14,22.0,2.0,14.0,12.0,0,2,Sargodha,Faisalabad Electric Supply Company (FESCO),632,27996.28
22,22.0,3.0,5.0,1.0,0,9,Bahawalpur,Multan Electric Power Company (MEPCO),560,23982.39
15,23.0,1.0,13.0,1.0,0,11,Rawalpindi,Islamabad Electric Supply Company (IESCO),389,15261.77
6,21.0,3.0,19.0,1.0,0,2,Quetta,Quetta Electric Supply Company (QESCO),576,24818.31
6,19.0,1.0,4.0,1.0,0,8,Sukkur,Sukkur Electric Power Company (SEPCO),340,12912.55
7,18.0,3.0,4.0,1.0,0,8,Hyderabad,Hyderabad Electric Supply Company (HESCO),417,16649.1
7,23.0,2.0,13.0,1.0,0,4,Karachi,K-Electric (KE),503,21004.44
22,23.0,1.0,6.0,1.0,0,12,Lahore,Lahore Electric Supply Company (LESCO),561,24034.64
18,23.0,2.0,13.0,1.0,0,8,Karachi,K-Electric (KE),588,25478.64
7,21.0,3.0,11.0,1.0,0,10,Rawalpindi,Islamabad Electric Supply Company (IESCO),584,25253.98
21,22.0,2.0,21.0,1.0,0,10,Multan,Multan Electric Power Company (MEPCO),771,36450.7
22,22.0,3.0,4.0,1.0,0,9,Peshawar,Peshawar Electric Supply Company (PESCO),643,28630.05
18,22.0,0.0,16.0,1.0,0,3,Sargodha,Faisalabad Electric Supply Company (FESCO),552,23564.43
13,23.0,1.0,8.0,12.0,0,5,Multan,Multan Electric Power Company (MEPCO),683,30934.66
5,21.0,3.0,6.0,1.0,0,5,Sargodha,Faisalabad Electric Supply Company (FESCO),436,17610.23
8,23.0,2.0,17.0,1.0,0,7,Sialkot,Gujranwala Electric Power Company (GEPCO),681,30819.43
14,22.0,2.0,21.0,12.0,0,2,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),668,30070.43
15,22.0,1.0,14.0,1.0,0,10,Multan,Multan Electric Power Company (MEPCO),381,14878.22
12,22.0,3.0,14.0,1.0,0,10,Karachi,K-Electric (KE),643,28630.05
15,23.0,1.0,22.0,1.0,0,1,Sargodha,Faisalabad Electric Supply Company (FESCO),495,20594.78
6,22.0,3.0,9.0,1.0,0,10,Peshawar,Peshawar Electric Supply Company (PESCO),544,23146.48
23,22.0,3.0,20.0,1.0,0,5,Abbottabad,Peshawar Electric Supply Company (PESCO),675,30473.74
20,23.0,1.0,18.0,1.0,0,6,Hyderabad,Hyderabad Electric Supply Company (HESCO),665,29897.59
10,17.0,1.0,10.0,1.0,0,2,Karachi,K-Electric (KE),243,8592.36
23,22.0,2.0,12.0,12.0,0,9,Sargodha,Faisalabad Electric Supply Company (FESCO),735,34150.46
18,22.0,2.0,8.0,1.0,0,5,Bahawalpur,Multan Electric Power Company (MEPCO),587,25422.47
14,22.0,0.0,3.0,1.0,0,9,Faisalabad,Faisalabad Electric Supply Company (FESCO),287,10446.89
23,22.0,2.0,18.0,1.0,0,7,Gwadar,Quetta Electric Supply Company (QESCO),756,35492.27
12,23.0,0.0,14.0,1.0,0,8,Rawalpindi,Islamabad Electric Supply Company (IESCO),460,18824.28
17,22.0,3.0,7.0,1.0,0,8,Sialkot,Gujranwala Electric Power Company (GEPCO),480,19836.0
6,22.0,1.0,11.0,1.0,0,7,Peshawar,Peshawar Electric Supply Company (PESCO),345,13152.27
7,23.0,3.0,3.0,1.0,0,12,Bahawalpur,Multan Electric Power Company (MEPCO),545,23198.72
6,22.0,1.0,20.0,1.0,0,4,Multan,Multan Electric Power Company (MEPCO),407,16143.24
15,23.0,2.0,7.0,1.0,0,1,Quetta,Quetta Electric Supply Company (QESCO),389,15261.77
17,22.0,1.0,13.0,1.0,0,1,Peshawar,Peshawar Electric Supply Company (PESCO),519,21840.36
20,22.0,3.0,20.0,12.0,0,9,Rawalpindi,Islamabad Electric Supply Company (IESCO),662,29724.74
12,23.0,0.0,4.0,1.0,0,4,Islamabad,Islamabad Electric Supply Company (IESCO),302,11090.71
12,23.0,0.0,16.0,1.0,0,2,Lahore,Lahore Electric Supply Company (LESCO),582,25141.66
23,22.0,0.0,8.0,1.0,0,1,Multan,Multan Electric Power Company (MEPCO),346,13200.21
12,22.0,1.0,22.0,1.0,0,3,Quetta,Quetta Electric Supply Company (QESCO),506,21161.18
6,22.0,1.0,4.0,1.0,0,1,Rawalpindi,Islamabad Electric Supply Company (IESCO),487,20190.1
7,18.0,0.0,21.0,7.0,0,12,Lahore,Lahore Electric Supply Company (LESCO),476,19633.65
16,22.0,0.0,8.0,1.0,0,12,Bahawalpur,Multan Electric Power Company (MEPCO),373,14494.67
18,22.0,1.0,16.0,1.0,0,10,Peshawar,Peshawar Electric Supply Company (PESCO),599,26096.43
8,20.0,0.0,7.0,7.0,0,3,Karachi,K-Electric (KE),422,16902.03
7,20.0,2.0,11.0,1.0,0,4,Sukkur,Sukkur Electric Power Company (SEPCO),351,13439.93
17,23.0,1.0,12.0,1.0,0,11,Lahore,Lahore Electric Supply Company (LESCO),512,21474.65
15,23.0,3.0,4.0,1.0,0,4,Sukkur,Sukkur Electric Power Company (SEPCO),569,24452.59
17,23.0,3.0,19.0,1.0,0,7,Peshawar,Peshawar Electric Supply Company (PESCO),776,36770.18
17,22.0,0.0,13.0,1.0,0,10,Rawalpindi,Islamabad Electric Supply Company (IESCO),467,19178.38
15,22.0,2.0,6.0,12.0,0,3,Hyderabad,Hyderabad Electric Supply Company (HESCO),696,31683.66
20,22.0,1.0,6.0,1.0,0,12,Islamabad,Islamabad Electric Supply Company (IESCO),357,13727.58
18,22.0,0.0,7.0,1.0,0,12,Quetta,Quetta Electric Supply Company (QESCO),325,12193.4
20,22.0,1.0,8.0,12.0,0,3,Quetta,Quetta Electric Supply Company (QESCO),717,33000.34
23,22.0,2.0,11.0,1.0,0,4,Bahawalpur,Multan Electric Power Company (MEPCO),419,16750.27
5,23.0,0.0,4.0,1.0,0,7,Sargodha,Faisalabad Electric Supply Company (FESCO),478,19734.82
12,23.0,3.0,16.0,1.0,0,7,Sukkur,Sukkur Electric Power Company (SEPCO),548,23355.46
8,23.0,3.0,3.0,1.0,0,4,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),508,21265.67
10,20.0,0.0,7.0,1.0,0,12,Sargodha,Faisalabad Electric Supply Company (FESCO),299,10952.68
17,22.0,3.0,18.0,1.0,0,7,Peshawar,Peshawar Electric Supply Company (PESCO),537,22780.76
11,22.0,2.0,10.0,1.0,0,12,Sialkot,Gujranwala Electric Power Company (GEPCO),473,19481.9
19,23.0,2.0,5.0,1.0,0,10,Faisalabad,Faisalabad Electric Supply Company (FESCO),449,18267.84
13,23.0,3.0,21.0,1.0,0,1,Abbottabad,Peshawar Electric Supply Company (PESCO),618,27189.67
22,23.0,0.0,22.0,1.0,0,9,Peshawar,Peshawar Electric Supply Company (PESCO),540,22937.5
12,23.0,1.0,20.0,1.0,0,4,Rawalpindi,Islamabad Electric Supply Company (IESCO),530,22415.05
19,23.0,2.0,6.0,1.0,0,3,Multan,Multan Electric Power Company (MEPCO),578,24922.8
15,22.0,3.0,17.0,1.0,0,2,Faisalabad,Faisalabad Electric Supply Company (FESCO),418,16699.68
10,22.0,0.0,12.0,7.0,0,2,Gwadar,Quetta Electric Supply Company (QESCO),406,16092.65
19,22.0,3.0,10.0,1.0,0,1,Karachi,K-Electric (KE),521,21944.85
5,18.0,3.0,9.0,1.0,0,2,Faisalabad,Faisalabad Electric Supply Company (FESCO),458,18723.11
16,22.0,3.0,8.0,12.0,0,2,Multan,Multan Electric Power Company (MEPCO),666,29955.2
7,17.0,3.0,14.0,1.0,0,8,Sialkot,Gujranwala Electric Power Company (GEPCO),325,12193.4
22,23.0,0.0,20.0,12.0,0,10,Karachi,K-Electric (KE),684,30992.28
19,23.0,0.0,14.0,1.0,0,2,Bahawalpur,Multan Electric Power Company (MEPCO),491,20392.44
7,20.0,2.0,13.0,1.0,0,12,Rawalpindi,Islamabad Electric Supply Company (IESCO),528,22310.56
14,22.0,3.0,20.0,1.0,0,5,Sukkur,Sukkur Electric Power Company (SEPCO),742,34597.73
16,23.0,1.0,22.0,12.0,0,3,Karachi,K-Electric (KE),768,36259.01
10,19.0,0.0,10.0,1.0,0,12,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),503,21004.44
7,17.0,1.0,18.0,7.0,0,11,Karachi,K-Electric (KE),536,22728.52
9,19.0,1.0,12.0,1.0,0,1,Gwadar,Quetta Electric Supply Company (QESCO),472,19431.31
15,22.0,1.0,19.0,1.0,0,1,Sukkur,Sukkur Electric Power Company (SEPCO),634,28111.51
15,23.0,2.0,8.0,1.0,0,10,Hyderabad,Hyderabad Electric Supply Company (HESCO),384,15022.05
12,22.0,2.0,11.0,1.0,0,3,Lahore,Lahore Electric Supply Company (LESCO),438,17711.4
14,22.0,1.0,10.0,12.0,0,7,Rawalpindi,Islamabad Electric Supply Company (IESCO),701,31978.02
15,22.0,2.0,16.0,1.0,0,6,Islamabad,Islamabad Electric Supply Company (IESCO),462,18925.45
9,23.0,2.0,7.0,1.0,0,3,Faisalabad,Faisalabad Electric Supply Company (FESCO),601,26210.21
19,22.0,0.0,10.0,1.0,0,9,Gwadar,Quetta Electric Supply Company (QESCO),408,16193.83
12,22.0,2.0,6.0,1.0,0,6,Hyderabad,Hyderabad Electric Supply Company (HESCO),463,18976.04
6,23.0,2.0,19.0,7.0,0,7,Hyderabad,Hyderabad Electric Supply Company (HESCO),602,26267.82
23,22.0,0.0,12.0,1.0,0,6,Abbottabad,Peshawar Electric Supply Company (PESCO),635,28169.13
23,23.0,0.0,22.0,1.0,0,8,Abbottabad,Peshawar Electric Supply Company (PESCO),563,24139.13
18,23.0,3.0,12.0,1.0,0,8,Quetta,Quetta Electric Supply Company (QESCO),726,33575.4
7,20.0,1.0,16.0,1.0,0,12,Multan,Multan Electric Power Company (MEPCO),412,16396.17
7,21.0,3.0,22.0,1.0,0,12,Faisalabad,Faisalabad Electric Supply Company (FESCO),675,30473.74
11,22.0,2.0,13.0,1.0,0,9,Sialkot,Gujranwala Electric Power Company (GEPCO),385,15069.99
13,22.0,0.0,21.0,12.0,0,10,Sukkur,Sukkur Electric Power Company (SEPCO),744,34725.52
13,22.0,1.0,18.0,1.0,0,4,Sargodha,Faisalabad Electric Supply Company (FESCO),410,16295.0
13,23.0,2.0,14.0,12.0,0,1,Sukkur,Sukkur Electric Power Company (SEPCO),591,25647.13
7,23.0,1.0,14.0,1.0,0,4,Multan,Multan Electric Power Company (MEPCO),521,21944.85
18,23.0,2.0,10.0,1.0,0,5,Multan,Multan Electric Power Company (MEPCO),596,25927.94
22,23.0,2.0,4.0,1.0,0,4,Islamabad,Islamabad Electric Supply Company (IESCO),415,16547.93
16,23.0,0.0,8.0,1.0,0,12,Sargodha,Faisalabad Electric Supply Company (FESCO),503,21004.44
7,17.0,3.0,17.0,1.0,0,10,Faisalabad,Faisalabad Electric Supply Company (FESCO),526,22206.07
13,22.0,0.0,12.0,1.0,0,6,Quetta,Quetta Electric Supply Company (QESCO),377,14686.45
14,22.0,2.0,6.0,1.0,0,3,Multan,Multan Electric Power Company (MEPCO),376,14638.5
17,23.0,3.0,21.0,1.0,0,6,Quetta,Quetta Electric Supply Company (QESCO),724,33447.61
11,22.0,2.0,12.0,12.0,0,7,Rawalpindi,Islamabad Electric Supply Company (IESCO),707,32361.39
11,23.0,0.0,4.0,1.0,0,11,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),365,14111.13
5,19.0,2.0,8.0,1.0,0,2,Islamabad,Islamabad Electric Supply Company (IESCO),308,11378.37
16,23.0,3.0,5.0,1.0,0,8,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),543,23094.23
6,22.0,1.0,9.0,1.0,0,3,Islamabad,Islamabad Electric Supply Company (IESCO),355,13631.7
6,21.0,2.0,4.0,7.0,0,9,Sargodha,Faisalabad Electric Supply Company (FESCO),502,20952.2
5,19.0,2.0,16.0,1.0,0,8,Islamabad,Islamabad Electric Supply Company (IESCO),455,18571.35
9,19.0,0.0,13.0,7.0,0,12,Faisalabad,Faisalabad Electric Supply Company (FESCO),543,23094.23
12,23.0,1.0,7.0,1.0,0,11,Rawalpindi,Islamabad Electric Supply Company (IESCO),461,18874.87
8,17.0,1.0,8.0,1.0,0,7,Multan,Multan Electric Power Company (MEPCO),412,16396.17
15,22.0,3.0,16.0,12.0,0,9,Hyderabad,Hyderabad Electric Supply Company (HESCO),633,28053.9
6,19.0,2.0,15.0,1.0,0,12,Bahawalpur,Multan Electric Power Company (MEPCO),480,19836.0
9,17.0,0.0,11.0,7.0,0,5,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),348,13296.1
20,22.0,2.0,6.0,1.0,0,10,Sargodha,Faisalabad Electric Supply Company (FESCO),623,27477.74
12,22.0,3.0,9.0,1.0,0,3,Islamabad,Islamabad Electric Supply Company (IESCO),465,19077.21
5,18.0,0.0,14.0,1.0,0,6,Islamabad,Islamabad Electric Supply Company (IESCO),371,14398.79
21,22.0,1.0,12.0,1.0,0,11,Faisalabad,Faisalabad Electric Supply Company (FESCO),561,24034.64
20,22.0,2.0,9.0,1.0,0,8,Multan,Multan Electric Power Company (MEPCO),673,30358.51
7,18.0,1.0,15.0,1.0,0,8,Gwadar,Quetta Electric Supply Company (QESCO),535,22676.27
12,22.0,3.0,6.0,12.0,0,4,Bahawalpur,Multan Electric Power Company (MEPCO),513,21526.89
8,17.0,1.0,4.0,7.0,0,10,Faisalabad,Faisalabad Electric Supply Company (FESCO),460,18824.28
20,23.0,2.0,12.0,1.0,0,8,Peshawar,Peshawar Electric Supply Company (PESCO),483,19987.75
7,17.0,2.0,10.0,1.0,0,7,Hyderabad,Hyderabad Electric Supply Company (HESCO),370,14350.85
11,23.0,3.0,18.0,1.0,0,10,Hyderabad,Hyderabad Electric Supply Company (HESCO),678,30646.58
7,23.0,0.0,19.0,1.0,0,8,Abbottabad,Peshawar Electric Supply Company (PESCO),459,18773.7
22,23.0,3.0,19.0,12.0,0,1,Sukkur,Sukkur Electric Power Company (SEPCO),717,33000.34
21,22.0,2.0,15.0,1.0,0,7,Multan,Multan Electric Power Company (MEPCO),617,27132.05
5,22.0,3.0,9.0,1.0,0,5,Karachi,K-Electric (KE),488,20240.68
22,22.0,2.0,20.0,1.0,0,12,Faisalabad,Faisalabad Electric Supply Company (FESCO),614,26959.21
21,23.0,3.0,13.0,1.0,0,11,Gwadar,Quetta Electric Supply Company (QESCO),556,23773.41
6,18.0,0.0,9.0,1.0,0,8,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),301,11042.77
9,20.0,2.0,19.0,1.0,0,4,Bahawalpur,Multan Electric Power Company (MEPCO),569,24452.59
9,21.0,3.0,22.0,1.0,0,8,Multan,Multan Electric Power Company (MEPCO),527,22258.32
16,22.0,1.0,3.0,1.0,0,11,Sargodha,Faisalabad Electric Supply Company (FESCO),322,12049.57
16,23.0,1.0,21.0,1.0,0,6,Sukkur,Sukkur Electric Power Company (SEPCO),712,32680.87
6,18.0,0.0,17.0,1.0,0,10,Peshawar,Peshawar Electric Supply Company (PESCO),442,17913.74
19,23.0,1.0,17.0,12.0,0,2,Peshawar,Peshawar Electric Supply Company (PESCO),509,21317.91
11,23.0,3.0,20.0,1.0,0,1,Quetta,Quetta Electric Supply Company (QESCO),648,28918.13
11,22.0,2.0,14.0,1.0,0,3,Multan,Multan Electric Power Company (MEPCO),394,15501.48
15,22.0,2.0,14.0,1.0,0,6,Sialkot,Gujranwala Electric Power Company (GEPCO),487,20190.1
21,23.0,2.0,5.0,1.0,0,2,Hyderabad,Hyderabad Electric Supply Company (HESCO),417,16649.1
10,23.0,2.0,19.0,1.0,0,12,Islamabad,Islamabad Electric Supply Company (IESCO),504,21056.69
11,22.0,3.0,4.0,1.0,0,9,Mirpur (AJK),Islamabad Electric Supply Company (IESCO),503,21004.44
22,22.0,3.0,4.0,1.0,0,10,Sargodha,Faisalabad Electric Supply Company (FESCO),503,21004.44
15,22.0,2.0,10.0,12.0,0,4,Lahore,Lahore Electric Supply Company (LESCO),514,21579.14
23,23.0,2.0,20.0,1.0,0,5,Sukkur,Sukkur Electric Power Company (SEPCO),741,34533.83
21,23.0,1.0,8.0,1.0,0,1,Sargodha,Faisalabad Electric Supply Company (FESCO),407,16143.24
13,23.0,3.0,17.0,1.0,0,11,Bahawalpur,Multan Electric Power Company (MEPCO),522,21997.09
18,22.0,2.0,14.0,1.0,0,10,Sukkur,Sukkur Electric Power Company (SEPCO),506,21161.18
13,22.0,1.0,3.0,1.0,0,8,Multan,Multan Electric Power Company (MEPCO),420,16800.85
22,23.0,0.0,15.0,12.0,0,11,Gwadar,Quetta Electric Supply Company (QESCO),735,34150.46
13,23.0,2.0,21.0,12.0,0,11,Bahawalpur,Multan Electric Power Company (MEPCO),577,24870.55
15,22.0,1.0,14.0,1.0,0,10,Bahawalpur,Multan Electric Power Company (MEPCO),397,15645.31
21,23.0,3.0,12.0,1.0,0,7,Sialkot,Gujranwala Electric Power Company (GEPCO),640,28457.2
13,23.0,2.0,9.0,1.0,0,4,Quetta,Quetta Electric Supply Company (QESCO),395,15549.42
20,22.0,3.0,7.0,12.0,0,5,Sukkur,Sukkur Electric Power Company (SEPCO),626,27650.59
14,23.0,1.0,13.0,12.0,0,7,Gwadar,Quetta Electric Supply Company (QESCO),749,35045.0
